Q2b,Q3b,Q4_6_TEXT,Q5_14_TEXT,Q6_4_TEXT,Q6b,Q7_22_TEXT,Q9c,Q10c,Q11_16_TEXT,Q11c,Q13_16_TEXT,Q14b,Q16_9_TEXT
NA,NA,0,0,helping to identify species or groups of species that are particalarly vulnerable to environmental change ,There is a growing interest in ecosystem restoration that will help maintain key functions in the future.,0,"environmental conditions (e.g. an a-typically prolonged drought) may take multiple months to manifest in population level changes of a species i.e be measurable, therefore regular monthly, or every-season, monitoring should capture these effects, which might also inform or help predict longer-term effects of climate change on said species ",probably across all scales,NA,NA,NA,NA,NA
NA,response diversity is the variety of responses to (environmental) disruption,0,0,0,The concept is too coarse to actually have practical value in real-world applications.,0,Because it is the scale at which less predictable disturbances occur,"As with other measures of biodiversity, there will be scale dependence. I think response diversity will be important and different at multiple scales (alpha, beta, zeta) and so I am incredibly unconfident in my answer!",NA,NA,Challenge of actually measuring response diversity across species in a system so as to understand impact of role on buffering disturbances and maintaining a regime,"Different studies involve different contexts, organismal interactions, disturbance types, etc. Each study should use methodologies that are best catered towards its individual circumstances.",NA
NA,NA,0,0,0,"In order to understand/predict and manage our communities and ecosystems under multiple changing environmental factors, it is important to monitor and manage response diversity",0,"The temporal scale should be long enough to include perturbation events that test RD (and your hypothesis). Also, the time scale should be long enough to capture a range of perturbations.","I would expect directional changes in response diversity to emerge - on average - at larger rather than smaller scales, where changes may be more stochastic.",NA,NA,NA,"In complex systems, something is always overlooked or assumed away to reduce degrees of freedom and computational load. This is fine. We should not expect all models to work exactly the same way, nor should we recommend a uniform approach in modeling.",NA
NA,NA,0,0,0,"Because the goal is to understand whether response diversity is an actual ""desirable"" attribute to manage and maximize to improve the funcitoning of ecosystems and the services they provide in the face of antrhopogenic change. Monitoring is a peice of that; and then actively managing is another complementary component.",0,"To be relevant to management (as stated in the above brief explanation), the scale of interest is not an evolutionary scale. However, 1-2 years are too short for most plants.",NA,NA,NA,NA,"Because it would allow to more easily compare response diversity among different taxa, communities...",NA
The term (or the concept) is simply not consistenlty (or explicitely) used enough in relation to the theory bihind it. ,NA,0,0,0,Response diversity in part determines the consequences of global change on ecosystems,0,time lag might be important and might not be capture within a shorter period of time,Probably the bias of my own background; I think of the pop/comm and metapop/comm scales as being where most of the action occurs if we're interested in how stochasticity and deterministic feedbacks interact,NA,"Well, this is a subjective question and depends on the nature of the goals of the project and also the natural history of the species (do they have a lot of within species spatial structure, etc). ",NA,"perhaps different axes of response diversity will emerge as response diversity evolves as a field, analogous to the fields of functional diversity and ecological stability.  ",NA
NA,NA,0,0,0,NA,0,"At a much larger temporal scale, evolution could play a part and species might adapt to environmental changes, making response diversity less relevant in predicting changes in population and community dynamics in response to environmental variations.","Again it depends on the taxa, its range size, migration ability, topology of the surface where it moves. From local practitioners I know some study happened in Switzerland on cantonal level with multiple ponds to know frog species' status and their conservation. So, for real life application, maybe local-regional scale would be better to minimise the forecast error. I have no definite answer for spatial scale, in general.",NA,"They are all relevant. Within species possibly less than among species just because conspecifics are more likely to share a response, but it's still very important. Among functional groups is only relevant if interested in multifunctionality. ",NA,"Standardising the methodology across different ecological systems, spatiotemporal scales and stressors sounds like a daunting task.",NA
NA,NA,0,0,0,To better understand if by maximizing response diversity we can build more ecologically resilient ecosystems to disturbances (e.g. forests),0,Because there are some climatic variables changing or geological events occuring with long period. ,"Depending on the dispersal abilities, local patches (populations) or interconnceted patches are relevant for population dynamimics.",NA,Because considering response diversity among functional groups is the only scales that allows you to understand whether the ecosystem functioning will be stable or will be compromised by the potential disappearance of sensitive functional groups,NA,"I think we need both, some standardization would be good as it would make it easier to make meaningful comparisons between different studies for example. It would also easy replicability of study results, which is an essential aspect of good science. However, given the complexity of the problem, it is unlikely that one method would be able to capture all relevant elements for all relevant studies. So perhaps more appropriate would be a set of different standardized methods adapted to different broad types of studies that need to be conducted.",NA
"I feel the concept of Response diversity is challenging to use, as it depends so much on measuring conditions. It might be too broad of a concept to be useful, as everyone measures it along different env gradients using different traits, including/excluding different species interactions, at different scales... It might be an useful overall term, but i feel it is too wide to be useful to push the field forward (to advance our understanding on mechanisms behind ecological stability).",NA,0,0,0,"The two top answers are possible from a theoretical and empirical perspective, however, I don't think that the last option on monitoring response diversity is possible yet as a framework for calculating response diversity at different scales (i.e., within and across sites) is needed (it is forming, but not yet consolidated)",0,Because political decisions about anthropogenic impacts and the delivery of ecosystem services need to be taken at broad temporal scales.,Individual local habitats are important to enable fine relevance and combining these patches will also enable the detecting of regional homogeneity and heterogeneity. ,NA,...,NA,NA,NA
NA,NA,0,0,0,NA,0,NA,"local scale is too small, broad scale too large...",NA,Not sure.,NA,the concept is applicable at many spatio-temporal scales and across levels of biological organization. There won't be a 'one-fits-all' method. ,NA
"What is responding and to what, is diversity == variance? is diversity in responders or driver of response,  What is the scale?",NA,0,0,"To me, response diversity is a joint feature of a perturbation and a community. It is another way of describing how a perturbation impacts a community so it could be useful in conservation/ecosystem management for characterising/comparing different perturbations ","Response diversity is an emergent property, not enough known about how to use it for management",It means too many things,"In the context of the scenario with strong seasonal variation, it has to be smaller than years.  But I am not convinced Fine/Daily is necessary",I consider local scale to be the most relevant for management and monitoring. If we were to apply management measures coordinating actions at local scale seems much more feasible. ,NA,"I found this question a touch confusing as it is not clear to me whether you are interested in persistence in relation to function (as implied implicitly in the question) or in relation to the species and community composition (as stated in the example description). i have answered the question in relation to function rather than stability to species. Note also that my rating is for the first three items only - I believe that some of the other choices are simply subsets of the three I have ranked. For example, yes genetic response diversity within a population is important but becasue I am interested in 1 - response diversity within a functional group. I.e. I am interested in response diversity related to function (either in a single locatin or at the metacommunity scale) - I believe the genetic response diversity supports response diversity within a functional group.",NA,"It is very difficult to propose any kinds of standards, which would work for different kinds of organisms.",NA
It often lacks clear link/definition in terms of what diversity means and how to quantify. Is it difference in sign or slope? ,NA,0,0,0,NA,0,"Depends on life cycle of plants considered; necessary to sample multiple years to get a representative reaction norm across species; different processes may influence the shape of the reaction norm which may only occur over broader time scales (i.e., acclimation, plasticity, evolution) ",NA,NA,NA,NA,"Because studies should be conducted across spatial, biological, and temporal scales. Trying to make them uniform will mean that we only understand one scale of this concept. ",NA
probably too broad a concept (like stability) to have a single clear definition ,NA,variation in how species respond to environmental changes and other species,0,0,because all cover one or more elements that are of importance in this context,0,"Because if you are not doing long-term monitoring you are missing the potential response diversity occurring to stochastic events such as prolonged drought that is not likely to occur in 1-2 years. You could already see some interesting results with 1-2 years, but you might be missing parts. Working at evolutionary scales would also give you information, but for long-lived species (e.g., more than 100 years), it is not possible. in many cases","Response  diversity may be enhanced by species dispersal/migration capabilities. Consequently, the spatial scale of analysis should match that scale. Second, the spatial scale of analysis/monitoring should also be based on the scale of perturbations, which might test RD. ",NA,"Studying metacommunities and several functional groups might result in large variability of responses, but allow for more general conclusions.",NA,"would help, but really needs general agreement; if not, such a standardised methdology might narrow the approaches",NA
The consideration of differences in the environment-performance relationships of species with/without neighbors is needed.,NA,0,0,0,"adds a dynamical component (response to perturbations) to biodiversity conservation, that could help move beyond the simplistic diversity-stability debate ",0,"For plants, some communities (perennially-dominated, for example) may be relatively stable through time whereas annual-dominated communities may have high turnover year to year. Yearly monitoring may then be important for addressing change early. However, ideally such monitoring would continue over many years, and so with limited resources, monitoring every 2 years might allow for monitoring to continue for a decade plus. ",Increased variation in response expected across large spatial scales due to adapted genotypes as well as exposure to a wider range of environmental conditions  ,NA,My reasoning was that the lower-ranked options looked at scales at which the response diversity will be limited or will have limited effect on the community-level endpoints.w.r.t. to ,NA,I think it would really help in the design of experiments and would facilitate comparisons between studies and systems,NA
NA,NA,0,0,0,"Response diversity allows us to understand how components of ecosystems differentially respond to environmental change. As environmental change intensifies in the future, it will be critical to understand how responses to that change occur, such that we can mitigate the impacts of change and actively influence the conservation of global ecosystems.",0,"You need the time scale to be long enough for there to be species turnover and time for anatomical, morphological, and physiological changes in response to changing climate",This is the scale at which ecosystem dynamics occur - NB ecosystems do not simply consist of plants!!!,NA,NA,NA,"It's a broad concept that captures a lot of processes, and it can be measured in different ways. I do think you need to quantify actual responses (rather than response traits). How you quantify functions/functional roles needs clarifying. ",NA
NA,NA,0,0,0,"I see response diversity as important to monitoring ecosystems and predicting sensitivity to particular drivers in a way that might be more informative than other metrics of diversity like functional or phylogenetic diversity. To me, it seems that active manipulation for maintenance of response diversity would be difficult unless there are clear and specific drivers expected to impact a community - since diversity of responses to drought might differ from responses to fire, grazing, etc.  ",0,"Those plants are either annual, biennal or perennial and to some degree already adapted to their environment. That's why i don't expect huge changes in their populations or biomass at daily or seasonal scale. They might be unobservable for the moment, (e.g. over winter), but re-appear next summer.","I would actually want to chose ""multi-scale,"" which is not offered here. I don't think there is a unique scale to monitor, but instead recommend a nested approach to measurement (and monitoring), so that the scaling of biodiversity trends can be monitored as well as the individual smaller units within a larger landscape",NA,"not sure, so the ranking is my rough thought.",NA,"Otherwise results from such complex studies might not be well comparable, and we might all start going into very different directions, rather than to focus on something that everyone understands in the same way. Same is true for terms we use (what are response diversity and ecological stability, how are they defined, and is everyone aware and accepting of these terms and definitions?).",NA
NA,NA,0,0,0,NA,0,"I am imagining that species will respond to each other's responses and require some time for the feedbacks to work through the community; in this case, the effect of response diversity should be felt at a significantly longer time scale than the ~annual scale of variation in the drivers","there could be relevance at any of these scales, depends on the system/question",NA,NA,NA,"Some advantages of standardization for assessing general effects, but too much standardization may limit insights. Guidelines and recommendations would be helpful.",NA
NA,NA,0,0,0,NA,I am not clear on the definition of environmental change being used here. I primarily think of stabilizing effects of response diversity in terms of environmental variability as opposed to directional change. ,"It's a difficult question because the answer would ideally depend on the dominant time scale of the community itself. However I take a human centered perspective, in which response diversity is particularly relevant because it can influence the propensity for the community to exhibit abrupt change or not. Abrupt change/ regime shifts can often be triggered by changes in slow variables that slowly erode the existing stability domain, in contrast to changes in fast variables (days, months or even years) for which the system is used to experience variations and overcome them. Therefore, I think it would be relevant to focus on the longer time scale and investigate what changes could influence response diversity at those scales.","Ideally the metapopulation would be sampled (local habitats connected by dispersal), to estimate spatial asynchrony among species",NA,All components are important and I think we need to start exploring some of these components before we can start to understand which is 'most' important,What functions are we interested in and how do we measure them?,"Yes and no- I agree that clear definitions of terms are needed (what is response diversity), but I believe this can be framed within the context of the study system. Different study systems and their contributions to people occur at different spatial and temporal scales. And also different scales of biological organization. Studies should include sufficient context and justification for the spatial/temporal/biological scales being investigated in the context of response diversity.",NA
"I think it depends on the field of study and also on the ""response to what"". ",NA,0,0,0,I think ecology is far from a predictive science (especially on this area) and it is not robust enough to inform policy,0,Because community composition itself is not constant over longer time scales.,"Meta-community dynamics are important, but they do not occur acorss regions.",NA,"I ordered them based on feasibility, data availability, and their predicting power to stability. ",NA,How else can we compare studies on different systems and places?,NA
"I perceive there to be a few dispirit concepts all of which could be considered response diversity, within different fields, i.e transient dynamics in population ecology. I think this initiative (RDN) to draw together interested reserachers will go a huge way towards clarifying the concept, as it will insure interested researchers are all aware of the same concepts",NA,0,0,Contributing to maintaining ecosystem functioning under environmental change by providing ecosystem conditions that boosts the range of possible responses to change.,My interests mostly lie in predictions of change rather than management. ,0,I try to figure a timespan relevant for the selected taxon: from annual plants to trees,"Multiple patches, just to have replication in space",NA,"I think that multi-species data are critical - multi-site data also provide interesting results, but are perhaps not as crucial.",NA,"no standardized methods, no comparable conclusions. Or every findings should be 'it depends...'",Collaborations among scientists who have opposing views
NA,NA,0,0,0,Currently no clear link strong enough to make simple management guideines but potential is there,0,"I lack context on the life history of the plant species. However, I assumed that given that they experience seasonal changes a full community dynamics might have been captured with yearly studies. Still, more info about the population dynamics and life history of the species would have helped. ",a sense that it best captures response to land use change at the appropriate scale? but unsure,NA,NA,"Lack of a holistic overview of concepts from genes-metacommunities. I do no necessarily think we need a standardised methodology, but instead a wider appreciation that the phenomenon of diversity of responses to multiple gradients can lead to stability across scales of organisation could be important. Somehow a lack of conceptual synthesis. ","standardization means one size fits all, and here is does never. There is a variety of ways to analyse depending on the specific question and goal. Standardization will help if it is specific enough and varies enough so hat with a package of different questions also different standardizations are being used. ",NA
NA,NA,0,0,0,NA,0,The changes should be studied at a relevant temporal scale - in this case multiple years to decades to understand the responses to environmental change. Longer timescales would be impractical :),With regional one might be able to consider metapopulation/ metacommunity dynamics,NA,I think that this answer is highly dependent on the study system and making generalisations is tricky. ,difficuulty of rearing insects in the lab,"Standard tests are always welcome and help comparing across studies, but different questions /study systems might require using different methods.",NA
Recovery and resilience are not clearly defined and are often used interchangeably. Response diversity is based on these concepts.,NA,I think all of these have been used in different studies and that is part of the problem - they are similar but not the same and cause confusion among readers who are interpreting things incorrectly.,0,0,response diversity might be more self and important than biodiversity per se in maintaining ecosystem functions and thus buffering ecosystems from environmental change,0,"plant cannot respond too rapidly given their physiological constrictions. If we study bacteria, we may monitor response diversity in hours.",NA,NA,"I don't feel like I can answer this question without a clearer sense of the purpose of the study.  That is, I don't think there's a single scale that's most relevant for all considerations of response diversity",NA,"I don't know enough about it, but I'd say there is room for lots of different methodologies/perspectives. There are many different (and useful) ways of measuring species diversity - maybe there are lots of useful ways of measuring response diversity (they might just need to be given informative names so as to avoid confusion). ",NA
NA,NA,"could be all of the above - but again, none captures the emergent nature of a macro system feature like ""functional diversity""",0,determine 'bright spots' of resilience based on high response diversity and protect those brigthspots,NA,0,"Captures within-year variation, as well as (hopefully more prominent) year-to-year variation.",One would need multiple locations experiencing different disturbance histories in order to capture differences in responses among locations and how they might interact,NA,NA,NA,Standardised methodologies would improve the comparison of results from different environmental contexts.,NA
how to measure it,NA,0,0,0,by being aware of response diversity web can anticipate to further enviro mental changes and adopt strategies to mitigate such impacts,0,Seasonal cycles likely play a large role in how populations respond to stochastic events (and more cyclical env variables too of course). Not looking at intra-annual patterns would obscure the differences between seasonal responses.,"For looking at response diversity between species maybe a local (e.g., mesocosm) approach would be most simple. For looking at response diversity within a plant species (e.g., between meta-populations) then a more regional/broad approach could be useful.  ",NA,"For this, I again think that the relevant biological scale depends on the question of interest. For thinking about stability in biomass production in a community, interspecific or functional group response diversity (if functional groups contribute differently to biomass production) might be most relevant. However, a look at landscape-level productivity would like change this relevant scale to a metacommunity level. ",NA,"Standard methodology is not required, but a clear definition and linkages formed with existing theory of temporal variability, demographic trait variability, and niche theory seems like a next step",NA
NA,NA,0,0,0,NA,"Comment on 6th option: the spatial distribution of species is important for RD. However, I think RD is an outcome of this, not necessarily the driver.",NA,"Again it depends on organism types. Here I considered a meta-community scale with organisms that disperse among local patches. Therefore, both local and regional scales are key and this is why I selected a scale between those two",NA,Studying response diversity starting from interspecific level will automatically create opportunities to explore other ecological scales in other related ecological contexts that will yield relevant timely outcomes.  ,NA,"all models are wrong, some models are useful.  Engaging with a diversity of approaches allows us to gain insights from the many approaches, while saving us from the weaknesses of a single approach",NA
